date,pull_count
2026-03-11,523
2026-03-12,559
2026-03-13,575
2026-03-14,643
2026-03-15,659
2026-03-16,672
2026-03-17,680
2026-03-18,692
2026-03-19,755
2026-03-20,772
2026-03-21,781
2026-03-22,844
2026-03-23,878
2026-03-26,923
2026-03-27,931
2026-03-28,947
2026-03-29,973
2026-03-30,983
2026-03-31,985
2026-04-01,990
2026-04-02,1076
2026-04-03,1098
2026-04-04,1139
2026-04-05,1159
2026-04-06,1184
2026-04-07,1190
2026-04-08,1219
2026-04-09,1222
2026-04-10,1222
2026-04-11,1225
2026-04-12,1226
2026-04-13,1226
2026-04-14,1229
2026-04-15,1232
2026-04-16,1236
2026-04-17,1240
2026-04-18,1242
2026-04-19,1246
2026-04-20,1250
